cumNetRating,mean,sd
-49,-2,NA
-31,5.5,4.949747468305833
-30,7.5,0.7071067811865476
-29,-10,NA
-28,14,NA
-26,-14.333333333333332,25.32455988429677
-24,-0.9999999999999996,10.392304845413264
-23,9,NA
-22,-7,4.242640687119285
-21,-8.25,14.72809107341025
-20,-9.5,11.220516922138659
-19,-3.1111111111111103,17.003267659809133
-18,-9.333333333333332,12.323911224882622
-17,-3.0833333333333335,13.60787428014539
-16,1.636363636363636,20.470821807014623
-15,-4.363636363636363,7.697697412508851
-14,-4.159090909090909,15.082630055361438
-13,-9.155172413793103,13.140004171189398
-12,-5.551724137931035,13.828742523534602
-11,-6.392265193370165,12.774790533457924
-10,-6.531135531135531,13.618216788010105
-9,-8.574626865671641,13.501109328581812
-8,-6.545893719806763,13.582197793401802
-7,-5.537383177570093,13.372557613166903
-6,-5.66798418972332,13.371924285486335
-5,-2.6465968586387434,14.671672723797236
-4,-2.623529411764706,13.667179198004103
-3,-1.91280353200883,13.380125092488464
-2,-1.1130171543895055,14.101555973990395
-1,-0.0668380462724935,13.839833213940855
0,-0.06074074074074063,14.049236180543
1,0.6910490856592877,14.496887804886033
2,1.0671806167400881,13.996648755552354
3,2.77720207253886,13.708361254954514
4,3.1598557692307696,13.924229338628404
5,3.5923076923076924,13.851899990298625
6,3.9876106194690264,14.552723495095677
7,4.426339285714286,14.302545040057826
8,5.181818181818182,13.294317513251045
9,5.759856630824372,12.662030477246114
10,6.159090909090909,13.271003543255784
11,7.684615384615385,14.16515793993584
12,8.754966887417218,13.592628829586138
13,9.365384615384615,14.472644226906015
14,8.087719298245613,15.007475163295869
15,8.450000000000001,16.06065804511463
16,8.727272727272727,16.009466896278287
17,6,15.485477067239485
18,3.1,19.122122150942232
19,9.333333333333332,12.470571418950756
20,-4,7.3484692283495345
21,-4.4,17.444196742756603
22,3.9999999999999996,12.529964086141668
24,11,NA
26,-3.2,5.890670590009257
28,-17,NA
29,-1,NA
30,9.666666666666666,7.637626158259733
34,-3,NA
49,18,NA
